,City,Country,temperature,humidity,cloudiness,wind_speed,latitude,longtitude
380,kayseri,TR,15.01,44.0,0.0,0.0,38.737,35.4968
381,quanzhou,CN,31.29,52.0,3.0,5.73,24.9139,118.5858
382,nago,JP,22.24,80.0,87.0,4.01,26.5881,127.9761
383,medicine hat,CA,3.45,61.0,100.0,2.78,50.0501,-110.6683
384,cherskiy,RU,-5.74,87.0,100.0,2.62,68.75,161.3
385,santa maria,BR,10.71,82.0,0.0,2.01,-29.6842,-53.8069
386,north bend,US,7.12,98.0,0.0,1.22,43.4065,-124.2243
387,el alto,PE,20.11,82.0,42.0,4.43,-4.2714,-81.2147
388,geraldton,AU,31.23,29.0,6.0,5.66,-28.7667,114.6
389,souillac,MU,25.04,71.0,86.0,7.95,-20.5167,57.5167
390,la ronge,CA,-1.61,96.0,26.0,2.21,55.1001,-105.2842
391,namibe,AO,20.44,83.0,20.0,2.21,-15.1961,12.1522
392,westport,US,10.95,82.0,100.0,0.0,41.1415,-73.3579
393,juiz de fora,BR,16.12,95.0,24.0,1.63,-21.7642,-43.3503
394,lagos,NG,26.18,89.0,100.0,1.08,6.5833,3.75
395,half moon bay,US,11.41,79.0,100.0,6.17,37.4636,-122.4286
396,nelson bay,AU,21.13,70.0,2.0,4.35,-32.7167,152.15
397,tuatapere,NZ,9.54,77.0,100.0,5.7,-46.1333,167.6833
398,grindavik,IS,6.26,75.0,100.0,1.54,63.8424,-22.4338
399,xining,CN,13.44,45.0,93.0,1.93,36.6167,101.7667
400,kieta,PG,28.56,68.0,71.0,0.87,-6.2167,155.6333
401,kalabo,ZM,20.68,61.0,93.0,0.81,-14.97,22.6814
402,sambava,MG,25.31,87.0,99.0,3.64,-14.2667,50.1667
403,wawa,NG,27.83,63.0,100.0,2.92,9.9022,4.4192
404,manama,BH,28.99,37.0,0.0,3.09,26.2154,50.5832
405,labuan,MY,29.01,74.0,13.0,3.48,5.2767,115.2417
406,wexford,IE,9.01,84.0,43.0,9.82,52.3342,-6.4575
407,kyren,RU,4.73,49.0,100.0,2.05,51.6828,102.1408
408,boquira,BR,19.78,78.0,42.0,1.04,-12.8231,-42.7306
409,bathsheba,BB,25.46,70.0,29.0,6.52,13.2167,-59.5167
410,ogbomosho,NG,23.47,95.0,100.0,1.91,8.133,4.25
411,longyearbyen,SJ,-9.09,62.0,40.0,8.23,78.2186,15.6401
412,diu,IN,33.48,33.0,30.0,5.64,20.7141,70.9822
413,shebalino,RU,-0.53,55.0,100.0,3.89,51.2917,85.6772
414,kalat,PK,23.72,12.0,35.0,6.32,29.0225,66.5916
415,hare bay,CA,-0.36,95.0,100.0,6.46,48.8499,-54.0148
416,kirkuk,IQ,27.4,13.0,100.0,1.83,35.4681,44.3922
417,tabou,CI,25.51,86.0,84.0,2.67,4.423,-7.3528
418,ahipara,NZ,17.45,75.0,52.0,6.71,-35.1667,173.1667
419,byron bay,AU,21.64,67.0,18.0,7.0,-28.65,153.6167
420,isangel,VU,26.2,74.0,30.0,5.61,-19.55,169.2667
421,saint-joseph,RE,25.97,68.0,86.0,6.24,-21.3667,55.6167
422,susuman,RU,-4.31,64.0,100.0,3.39,62.7833,148.1667
423,plattling,DE,10.14,75.0,80.0,0.71,48.7833,12.8667
424,arenapolis,BR,21.93,92.0,100.0,1.77,-14.4503,-56.8461
425,tocopilla,CL,17.7,71.0,26.0,0.75,-22.092,-70.1979
426,arroyo,ES,2.94,88.0,0.0,2.57,41.6096,-4.7969
427,hastings,GB,9.69,82.0,99.0,7.97,50.8552,0.5729
428,okhotsk,RU,0.29,92.0,9.0,2.17,59.3833,143.3
429,maniitsoq,GL,-0.61,98.0,100.0,4.83,65.4167,-52.9
430,meulaboh,ID,30.66,67.0,86.0,3.39,4.1363,96.1285
431,cartagena del chaira,CO,22.08,99.0,51.0,1.2,1.3349,-74.8429
432,macau,MO,26.86,89.0,40.0,3.09,22.2006,113.5461
433,svodin,SK,11.51,87.0,91.0,5.61,47.9105,18.4997
434,victoria,HK,29.05,80.0,27.0,4.92,22.2855,114.1577
435,dong xoai,VN,33.73,49.0,49.0,1.24,11.5333,106.9167
436,zaysan,KZ,6.5,49.0,100.0,8.26,47.4667,84.8667
437,sioux lookout,CA,1.58,100.0,100.0,4.03,50.1001,-91.917
438,waipawa,NZ,11.22,81.0,49.0,3.06,-41.4122,175.5153
439,vila do maio,CV,24.44,77.0,4.0,6.51,15.1333,-23.2167
440,brae,GB,7.43,72.0,99.0,7.01,60.3964,-1.353
441,russkiy aktash,RU,11.23,56.0,90.0,2.66,55.0384,52.1214
442,kokstad,ZA,13.48,90.0,21.0,1.97,-30.5472,29.4241
443,lucapa,AO,19.56,91.0,97.0,0.89,-8.4192,20.7447
444,birjand,IR,23.79,24.0,1.0,0.7,32.8663,59.2211
445,ingham,US,20.39,56.0,0.0,3.09,42.6,-84.3833
446,henties bay,NA,15.31,84.0,90.0,3.62,-22.116,14.2845
447,tilichiki,RU,-1.66,84.0,97.0,3.11,60.4667,166.1
448,doha,QA,28.99,48.0,0.0,5.14,25.2867,51.5333
449,makakilo city,US,22.04,79.0,100.0,0.0,21.3469,-158.0858
450,lorengau,PG,28.21,77.0,87.0,3.5,-2.0226,147.2712
451,anan,JP,16.88,94.0,100.0,1.03,33.9167,134.65
452,synya,RU,-0.68,75.0,100.0,0.97,65.3718,58.0387
453,thanatpin,MM,35.1,29.0,42.0,3.52,17.2119,96.3033
454,altagracia de orituco,VE,21.39,87.0,29.0,2.95,9.8601,-66.3814
455,anqing,CN,30.77,47.0,2.0,3.59,30.5092,117.0506
456,nome,US,3.42,77.0,100.0,0.81,64.5011,-165.4064
457,lahaina,US,23.27,93.0,55.0,4.71,20.8783,-156.6825
458,hereford,GB,8.25,85.0,89.0,0.45,52.0568,-2.7148
459,san ramon de la nueva oran,AR,18.64,95.0,97.0,0.49,-23.1322,-64.326
460,manuk mangkaw,PH,28.94,69.0,15.0,0.44,4.8,119.85
461,prainha,BR,22.67,98.0,100.0,1.04,-1.8,-53.48
462,pacific grove,US,10.63,87.0,0.0,1.79,36.6177,-121.9166
463,tam ky,VN,31.76,65.0,32.0,3.67,15.5667,108.4833
464,atasu,KZ,11.28,19.0,97.0,9.13,48.6814,71.6433
465,seshcha,RU,8.76,92.0,100.0,5.36,53.7361,33.3387
466,norilsk,RU,-14.21,89.0,74.0,1.88,69.3535,88.2027
467,los teques,VE,15.5,93.0,59.0,0.96,10.3445,-67.0433
468,san cristobal,VE,19.29,97.0,100.0,0.89,7.7669,-72.225
469,san ramon,US,11.39,76.0,0.0,1.54,37.7799,-121.978
470,horta,PT,14.08,69.0,33.0,9.13,38.5333,-28.6333
471,poum,NC,25.55,73.0,58.0,3.45,-20.2333,164.0167
472,sawtell,AU,22.01,53.0,40.0,6.69,-30.3833,153.1
473,seoul,KR,23.41,56.0,0.0,4.63,37.5683,126.9778
474,plettenberg bay,ZA,14.81,83.0,68.0,3.69,-34.0527,23.3716
475,oranjestad,AW,26.6,79.0,98.0,7.97,12.524,-70.027
476,belmonte,BR,24.86,89.0,17.0,1.71,-15.8631,-38.8828
477,bundaberg,AU,25.12,64.0,40.0,10.8,-24.85,152.35
478,samarinda,ID,29.63,82.0,58.0,0.97,-0.5,117.15
479,zhezkazgan,KZ,3.99,93.0,100.0,9.0,47.8043,67.7144
480,abonnema,NG,25.09,89.0,100.0,0.72,4.7084,6.7931
481,narok,KE,17.37,87.0,100.0,1.69,-1.0783,35.8601
482,muravlenko,RU,-5.43,85.0,100.0,3.38,63.7898,74.523
483,necochea,AR,15.35,69.0,56.0,6.04,-38.5473,-58.7368
484,talcahuano,CL,13.44,93.0,78.0,8.89,-36.7167,-73.1167
485,san-pedro,CI,24.5,92.0,90.0,2.52,4.7485,-6.6363
486,bismarck,US,0.53,94.0,75.0,12.35,46.8083,-100.7837
487,pinotepa de don luis,MX,22.3,80.0,21.0,0.68,16.4167,-97.9167
488,mizan teferi,ET,20.99,79.0,79.0,0.54,6.9833,35.5833
489,bonfim,BR,25.77,78.0,100.0,2.81,3.0833,-59.95
490,oga,IT,1.29,97.0,91.0,2.68,46.4631,10.347
491,bouca,CF,25.16,66.0,99.0,2.4,6.5105,18.2733
492,bolobo,CD,22.21,89.0,100.0,1.39,-2.1667,16.2333
493,nuuk,GL,0.34,86.0,75.0,4.63,64.1835,-51.7216
494,baylo,PH,29.75,76.0,73.0,1.92,7.8539,126.0581
495,fuxin,CN,21.8,17.0,100.0,2.92,42.0156,121.6589
496,chernaya kholunitsa,RU,7.95,73.0,100.0,1.87,58.8511,51.7154
497,havelock,US,17.45,86.0,4.0,2.53,34.8791,-76.9013
498,traverse city,US,19.99,57.0,100.0,7.25,44.7631,-85.6206
499,champoton,MX,25.17,73.0,4.0,5.2,19.35,-90.7167
